               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.027648,            0.010377,                   0,             0.80612,              0.5538,             0.63999,             0.30973,            0.040286,            0.023205,                   0,           0.0096337,           0.0096337,           0.0096337
                  39,             0.02792,            0.010607,                   0,             0.82475,             0.54688,             0.64225,             0.31419,            0.038765,            0.024811,                   0,           0.0096238,           0.0096238,           0.0096238
                  40,            0.027458,             0.01024,                   0,             0.75262,             0.49767,              0.5793,             0.29246,            0.039952,            0.024514,                   0,           0.0096139,           0.0096139,           0.0096139
                  41,            0.026988,             0.01003,                   0,             0.77684,              0.5418,             0.62237,             0.31999,            0.038175,            0.024793,                   0,            0.009604,            0.009604,            0.009604
                  42,            0.026654,            0.010035,                   0,             0.71298,              0.5463,             0.61509,             0.29064,            0.037898,            0.022784,                   0,           0.0095941,           0.0095941,           0.0095941
                  43,            0.026772,            0.010173,                   0,             0.72734,             0.63989,              0.6881,             0.34359,            0.037536,            0.020229,                   0,           0.0095842,           0.0095842,           0.0095842
                  44,            0.026947,            0.010306,                   0,             0.77506,             0.56875,             0.68354,             0.36622,            0.037119,             0.02241,                   0,           0.0095743,           0.0095743,           0.0095743
                  45,            0.027002,              0.0101,                   0,             0.69688,             0.52597,             0.60718,             0.31181,            0.039037,            0.026526,                   0,           0.0095644,           0.0095644,           0.0095644
                  46,            0.026981,            0.010101,                   0,             0.82564,             0.55882,             0.65942,             0.33733,            0.038439,            0.023157,                   0,           0.0095545,           0.0095545,           0.0095545
                  47,            0.026118,           0.0098777,                   0,             0.79778,             0.51014,             0.66131,             0.35352,            0.038802,            0.028065,                   0,           0.0095446,           0.0095446,           0.0095446
                  48,            0.026313,           0.0098806,                   0,             0.75886,             0.55655,             0.65277,             0.33648,             0.03844,            0.024647,                   0,           0.0095347,           0.0095347,           0.0095347
                  49,            0.026948,            0.010116,                   0,             0.83226,             0.57367,             0.70955,             0.36089,            0.038536,            0.021109,                   0,           0.0095248,           0.0095248,           0.0095248
                  50,            0.026585,            0.010069,                   0,             0.74616,             0.53704,             0.61655,             0.28181,            0.041862,             0.02021,                   0,           0.0095149,           0.0095149,           0.0095149
                  51,            0.025907,            0.010063,                   0,             0.77377,             0.64532,             0.71978,             0.37074,            0.037338,            0.021121,                   0,            0.009505,            0.009505,            0.009505
                  52,            0.026839,           0.0099563,                   0,             0.81113,             0.66277,             0.72265,             0.35942,            0.037128,            0.019365,                   0,           0.0094951,           0.0094951,           0.0094951
                  53,            0.026331,           0.0098352,                   0,             0.72584,             0.62918,             0.67021,             0.32895,            0.038384,            0.020255,                   0,           0.0094852,           0.0094852,           0.0094852
                  54,             0.02593,           0.0097442,                   0,             0.74057,             0.62249,             0.71155,             0.34873,            0.039091,            0.021808,                   0,           0.0094753,           0.0094753,           0.0094753
                  55,            0.026362,            0.010137,                   0,             0.82375,             0.62539,             0.71188,             0.33726,            0.040102,            0.021328,                   0,           0.0094654,           0.0094654,           0.0094654
                  56,            0.026377,           0.0097746,                   0,             0.78826,             0.56728,             0.66897,             0.31328,            0.039865,            0.025202,                   0,           0.0094555,           0.0094555,           0.0094555
                  57,            0.025618,           0.0095979,                   0,             0.82043,             0.62037,             0.70959,             0.33828,            0.039708,            0.018685,                   0,           0.0094456,           0.0094456,           0.0094456
                  58,            0.025825,           0.0097226,                   0,             0.76516,             0.52733,             0.66733,             0.34326,            0.040726,            0.025092,                   0,           0.0094357,           0.0094357,           0.0094357
                  59,             0.02548,           0.0094528,                   0,             0.80206,             0.64062,              0.6969,             0.36334,            0.036855,            0.021456,                   0,           0.0094258,           0.0094258,           0.0094258
                  60,            0.025809,           0.0096517,                   0,             0.79776,             0.65744,             0.72508,             0.36963,            0.037609,             0.01811,                   0,           0.0094159,           0.0094159,           0.0094159
                  61,            0.025437,           0.0096989,                   0,             0.83754,             0.60952,             0.70124,             0.36834,            0.038296,            0.022372,                   0,            0.009406,            0.009406,            0.009406
                  62,            0.025423,            0.009281,                   0,               0.698,             0.62037,              0.6673,              0.3249,            0.036511,            0.020005,                   0,           0.0093961,           0.0093961,           0.0093961
                  63,            0.025329,           0.0096343,                   0,             0.75978,              0.6161,             0.71199,             0.34921,            0.037953,            0.020889,                   0,           0.0093862,           0.0093862,           0.0093862
                  64,            0.025056,           0.0093979,                   0,             0.81888,             0.61971,             0.72193,             0.36757,            0.036987,            0.021419,                   0,           0.0093763,           0.0093763,           0.0093763
                  65,            0.024816,           0.0093212,                   0,             0.81377,             0.53605,             0.64944,             0.32214,            0.040957,            0.025433,                   0,           0.0093664,           0.0093664,           0.0093664
                  66,            0.024617,           0.0093953,                   0,             0.69564,             0.55864,             0.60379,             0.28831,            0.039086,            0.021798,                   0,           0.0093565,           0.0093565,           0.0093565
                  67,             0.02505,           0.0095236,                   0,             0.76382,             0.58333,             0.69556,             0.33091,            0.038419,            0.020904,                   0,           0.0093466,           0.0093466,           0.0093466
                  68,             0.02518,           0.0092562,                   0,             0.71851,              0.5039,             0.61058,              0.3038,            0.039895,            0.027513,                   0,           0.0093367,           0.0093367,           0.0093367
                  69,            0.025129,           0.0093589,                   0,             0.74172,             0.57099,             0.64477,             0.32405,            0.039471,            0.024571,                   0,           0.0093268,           0.0093268,           0.0093268
                  70,            0.025082,           0.0094741,                   0,             0.72979,             0.60494,             0.66836,             0.31393,            0.040255,            0.020021,                   0,           0.0093169,           0.0093169,           0.0093169
                  71,            0.024662,           0.0093099,                   0,             0.72991,             0.64984,             0.68627,              0.3385,            0.038935,            0.021507,                   0,            0.009307,            0.009307,            0.009307
                  72,            0.024541,           0.0093809,                   0,             0.79544,              0.6142,             0.67179,             0.32192,            0.038465,             0.02099,                   0,           0.0092971,           0.0092971,           0.0092971
                  73,            0.024415,           0.0091257,                   0,             0.81114,             0.60317,             0.71577,             0.37192,            0.039362,            0.024731,                   0,           0.0092872,           0.0092872,           0.0092872
                  74,             0.02494,           0.0092545,                   0,             0.82226,             0.61186,             0.71861,             0.35974,            0.039685,            0.024644,                   0,           0.0092773,           0.0092773,           0.0092773
                  75,            0.024809,           0.0094546,                   0,             0.71892,             0.65929,             0.72039,              0.3462,            0.038551,            0.019481,                   0,           0.0092674,           0.0092674,           0.0092674
                  76,            0.024074,           0.0090068,                   0,             0.75636,             0.51863,             0.62166,             0.32254,            0.041527,            0.023477,                   0,           0.0092575,           0.0092575,           0.0092575
                  77,            0.024522,           0.0091532,                   0,             0.79949,             0.54455,             0.64259,             0.31952,            0.041354,            0.025916,                   0,           0.0092476,           0.0092476,           0.0092476
                  78,            0.024762,           0.0092845,                   0,             0.79196,             0.56925,             0.69101,             0.34571,            0.038996,            0.022605,                   0,           0.0092377,           0.0092377,           0.0092377
                  79,            0.024315,           0.0093265,                   0,             0.81793,             0.66188,              0.7573,             0.36311,            0.039236,            0.021264,                   0,           0.0092278,           0.0092278,           0.0092278
                  80,            0.024002,           0.0091042,                   0,             0.79545,             0.60248,             0.70777,             0.33902,            0.039938,            0.020555,                   0,           0.0092179,           0.0092179,           0.0092179
                  81,            0.023931,           0.0092388,                   0,             0.78902,             0.61736,             0.72335,               0.356,            0.039412,            0.023835,                   0,            0.009208,            0.009208,            0.009208
                  82,            0.023558,           0.0088631,                   0,             0.75469,             0.57276,             0.66056,             0.31869,             0.04006,             0.02299,                   0,           0.0091981,           0.0091981,           0.0091981
                  83,             0.02353,           0.0090142,                   0,             0.77024,             0.60197,             0.69993,             0.34867,            0.037964,            0.023934,                   0,           0.0091882,           0.0091882,           0.0091882
