               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.027478,            0.010572,                   0,             0.81541,             0.57315,             0.70657,             0.36934,            0.038845,            0.023135,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.026938,            0.010109,                   0,             0.80297,             0.54489,             0.63674,             0.31384,            0.037663,            0.024484,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.027087,            0.010253,                   0,             0.81118,             0.61129,             0.70479,               0.367,            0.036421,            0.020603,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.026809,           0.0099295,                   0,              0.7417,             0.74017,             0.73865,             0.38013,            0.036296,             0.01844,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.026418,           0.0098811,                   0,             0.78884,             0.61755,              0.7228,             0.38997,            0.037375,            0.020675,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.026551,            0.010076,                   0,             0.81175,             0.69207,              0.7794,             0.40914,            0.036339,            0.015929,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.025927,           0.0097745,                   0,             0.80777,             0.65421,             0.71718,             0.37972,            0.037611,            0.020166,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,             0.02584,           0.0098943,                   0,             0.73455,             0.59969,              0.6447,             0.34802,            0.036453,            0.024435,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.026343,           0.0099126,                   0,             0.76416,             0.69375,             0.75776,             0.40148,            0.037264,            0.017709,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.025853,           0.0097126,                   0,             0.84929,             0.61215,             0.71063,             0.37298,            0.038823,            0.021308,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.026404,           0.0099949,                   0,             0.73536,             0.65179,             0.69361,              0.3446,            0.037834,            0.018729,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.026288,           0.0098237,                   0,             0.81045,             0.63342,             0.71569,             0.36623,              0.0369,            0.020953,                   0,            0.007624,            0.007624,            0.007624
                  50,             0.02577,            0.009686,                   0,             0.79517,             0.65741,             0.74489,             0.38064,            0.037268,            0.017647,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.025587,           0.0099539,                   0,             0.84415,             0.62046,             0.71344,             0.36595,            0.036538,              0.0225,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.025875,           0.0099264,                   0,              0.8329,             0.63291,             0.72229,             0.37287,            0.036082,            0.022517,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.025171,           0.0096533,                   0,             0.75025,             0.71651,             0.75769,             0.38596,            0.036784,            0.019372,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.025351,           0.0095348,                   0,             0.73148,             0.58934,             0.67859,             0.34732,            0.037053,            0.022945,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.025323,           0.0096413,                   0,             0.83648,             0.57729,             0.71133,             0.35612,            0.038312,            0.020831,                   0,            0.007327,            0.007327,            0.007327
