               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.026053,           0.0099875,                   0,             0.80657,             0.68211,             0.75598,             0.39275,            0.036681,            0.018962,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.025804,            0.010031,                   0,             0.82202,                 0.5,             0.63183,              0.3286,            0.038446,            0.025734,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.025791,           0.0096476,                   0,             0.76639,             0.72446,             0.75032,             0.37073,            0.036685,            0.017029,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.025813,           0.0096842,                   0,             0.72018,             0.68111,             0.72097,             0.36964,             0.03713,            0.017986,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.025835,           0.0099291,                   0,             0.79489,             0.66563,             0.74835,             0.37545,            0.037136,            0.017258,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.024899,           0.0094943,                   0,             0.82988,             0.54201,             0.67351,             0.36289,            0.037935,            0.024618,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.025342,           0.0096739,                   0,             0.68968,             0.67492,             0.71366,             0.35893,             0.03689,            0.018085,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.025114,           0.0094861,                   0,             0.81569,             0.59554,             0.73465,             0.37957,            0.038097,            0.020588,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.024722,           0.0094062,                   0,             0.71412,             0.61287,             0.69975,             0.35551,            0.037681,            0.020773,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.024932,           0.0095695,                   0,             0.73283,             0.58471,             0.67849,             0.34911,            0.038015,            0.022033,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.024636,            0.009332,                   0,             0.79594,             0.65517,             0.73597,             0.36851,            0.037611,            0.019961,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.024636,           0.0092667,                   0,             0.72265,             0.56825,             0.68298,             0.33686,              0.0402,            0.021942,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.024511,           0.0096746,                   0,             0.78659,             0.64842,             0.72526,              0.3731,            0.036891,            0.019392,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.024849,           0.0095046,                   0,               0.796,             0.53312,             0.68092,             0.33158,            0.039425,            0.024189,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.023835,           0.0092701,                   0,              0.7536,             0.63312,             0.71496,             0.34947,            0.038141,            0.021876,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.023811,           0.0091921,                   0,             0.78794,             0.63407,             0.72047,             0.34762,            0.037129,            0.020035,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.024112,           0.0092302,                   0,             0.82022,             0.59572,             0.72802,             0.35503,            0.039242,            0.020704,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.023492,           0.0090682,                   0,             0.82614,              0.6489,             0.74827,              0.3877,            0.037452,            0.020373,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.023572,           0.0089518,                   0,             0.81796,             0.64395,             0.74019,             0.37526,            0.037459,            0.021122,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.023264,            0.008835,                   0,             0.79327,              0.6455,             0.72919,             0.34864,            0.039414,            0.019298,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.023873,           0.0088917,                   0,             0.83018,              0.6349,             0.73481,             0.36489,            0.038997,            0.020879,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.023436,           0.0090529,                   0,             0.81857,             0.61395,             0.71866,             0.35392,             0.03839,            0.022328,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.023183,           0.0089237,                   0,             0.77221,             0.60828,              0.7108,             0.34889,            0.037985,            0.021879,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022867,           0.0088992,                   0,             0.76241,             0.55346,             0.66857,             0.32359,             0.03824,            0.022547,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.022784,           0.0085593,                   0,             0.80423,             0.59615,             0.69485,             0.33877,            0.038585,            0.022805,                   0,            0.003862,            0.003862,            0.003862
                  64,              0.0224,           0.0086834,                   0,             0.77906,             0.59519,              0.7037,             0.34848,             0.03894,            0.021919,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.022335,           0.0086834,                   0,             0.81097,             0.61288,             0.73487,             0.36681,            0.039155,            0.023638,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.022811,           0.0087599,                   0,             0.87467,             0.61589,             0.73131,             0.36387,            0.038235,            0.023619,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.021859,           0.0082844,                   0,             0.87301,             0.62078,             0.74771,             0.37378,            0.037946,            0.023675,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.022098,           0.0087211,                   0,             0.77923,             0.61681,             0.72328,             0.35493,            0.038921,            0.022712,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.021834,           0.0085835,                   0,             0.76897,             0.65605,             0.74633,             0.35661,            0.038991,            0.021809,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.021583,           0.0083128,                   0,             0.81031,             0.62032,             0.73978,             0.36045,            0.038434,             0.02425,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.021857,            0.008437,                   0,             0.78431,             0.55469,             0.70362,             0.35625,            0.039651,            0.026685,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.021807,           0.0083425,                   0,             0.79731,              0.6042,             0.72195,             0.36334,            0.038393,            0.024569,                   0,            0.002971,            0.002971,            0.002971
                  73,             0.02126,           0.0081794,                   0,             0.83012,             0.61538,             0.73614,             0.36517,            0.037839,             0.02236,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.021546,           0.0081745,                   0,             0.82892,             0.61842,             0.75393,             0.37537,            0.038527,            0.024096,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.021218,            0.008475,                   0,             0.84366,             0.52347,             0.73748,             0.36386,            0.039244,            0.028124,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.021025,           0.0083848,                   0,             0.80629,             0.61812,             0.74081,             0.35409,            0.039607,            0.023234,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.020747,           0.0082246,                   0,             0.81699,             0.64183,             0.73151,               0.352,             0.03936,             0.02117,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.020956,            0.008184,                   0,             0.83319,             0.60913,             0.74876,             0.36358,            0.039874,             0.02516,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.020787,           0.0085366,                   0,             0.83766,             0.64014,             0.74721,              0.3693,            0.040179,            0.024933,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.020496,           0.0081399,                   0,             0.81149,             0.62583,             0.74423,             0.36008,             0.03938,            0.023464,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.020705,           0.0081518,                   0,             0.83828,             0.61824,             0.75012,             0.37334,            0.039285,            0.024629,                   0,             0.00208,             0.00208,             0.00208
